"Notes"	"County"	"County Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Pierce County, NE"	"31139"	"Heroin"	"T40.1"	Suppressed	86781	Suppressed
	"Pierce County, NE"	"31139"	"Other opioids"	"T40.2"	Suppressed	86781	Suppressed
	"Pierce County, NE"	"31139"	"Methadone"	"T40.3"	Suppressed	86781	Suppressed
	"Pierce County, NE"	"31139"	"Other synthetic narcotics"	"T40.4"	Suppressed	86781	Suppressed
	"Platte County, NE"	"31141"	"Heroin"	"T40.1"	Suppressed	387617	Suppressed
	"Platte County, NE"	"31141"	"Other opioids"	"T40.2"	Suppressed	387617	Suppressed
	"Platte County, NE"	"31141"	"Methadone"	"T40.3"	Suppressed	387617	Suppressed
	"Platte County, NE"	"31141"	"Other synthetic narcotics"	"T40.4"	Suppressed	387617	Suppressed
	"Polk County, NE"	"31143"	"Heroin"	"T40.1"	Suppressed	63994	Suppressed
	"Polk County, NE"	"31143"	"Other opioids"	"T40.2"	Suppressed	63994	Suppressed
	"Polk County, NE"	"31143"	"Methadone"	"T40.3"	Suppressed	63994	Suppressed
	"Polk County, NE"	"31143"	"Other synthetic narcotics"	"T40.4"	Suppressed	63994	Suppressed
	"Red Willow County, NE"	"31145"	"Heroin"	"T40.1"	Suppressed	131513	Suppressed
	"Red Willow County, NE"	"31145"	"Other opioids"	"T40.2"	Suppressed	131513	Suppressed
	"Red Willow County, NE"	"31145"	"Methadone"	"T40.3"	Suppressed	131513	Suppressed
	"Red Willow County, NE"	"31145"	"Other synthetic narcotics"	"T40.4"	Suppressed	131513	Suppressed
	"Richardson County, NE"	"31147"	"Heroin"	"T40.1"	Suppressed	99292	Suppressed
	"Richardson County, NE"	"31147"	"Other opioids"	"T40.2"	Suppressed	99292	Suppressed
	"Richardson County, NE"	"31147"	"Methadone"	"T40.3"	Suppressed	99292	Suppressed
	"Richardson County, NE"	"31147"	"Other synthetic narcotics"	"T40.4"	Suppressed	99292	Suppressed
	"Rock County, NE"	"31149"	"Heroin"	"T40.1"	Suppressed	17664	Suppressed
	"Rock County, NE"	"31149"	"Other opioids"	"T40.2"	Suppressed	17664	Suppressed
	"Rock County, NE"	"31149"	"Methadone"	"T40.3"	Suppressed	17664	Suppressed
	"Rock County, NE"	"31149"	"Other synthetic narcotics"	"T40.4"	Suppressed	17664	Suppressed
	"Saline County, NE"	"31151"	"Heroin"	"T40.1"	Suppressed	171094	Suppressed
	"Saline County, NE"	"31151"	"Other opioids"	"T40.2"	Suppressed	171094	Suppressed
	"Saline County, NE"	"31151"	"Methadone"	"T40.3"	Suppressed	171094	Suppressed
	"Saline County, NE"	"31151"	"Other synthetic narcotics"	"T40.4"	Suppressed	171094	Suppressed
	"Sarpy County, NE"	"31153"	"Heroin"	"T40.1"	Suppressed	1966125	Suppressed
	"Sarpy County, NE"	"31153"	"Other opioids"	"T40.2"	21	1966125	1.1
	"Sarpy County, NE"	"31153"	"Methadone"	"T40.3"	12	1966125	Unreliable
	"Sarpy County, NE"	"31153"	"Other synthetic narcotics"	"T40.4"	13	1966125	Unreliable
	"Saunders County, NE"	"31155"	"Heroin"	"T40.1"	Suppressed	249284	Suppressed
	"Saunders County, NE"	"31155"	"Other opioids"	"T40.2"	Suppressed	249284	Suppressed
	"Saunders County, NE"	"31155"	"Methadone"	"T40.3"	Suppressed	249284	Suppressed
	"Saunders County, NE"	"31155"	"Other synthetic narcotics"	"T40.4"	Suppressed	249284	Suppressed
	"Scotts Bluff County, NE"	"31157"	"Heroin"	"T40.1"	Suppressed	439111	Suppressed
	"Scotts Bluff County, NE"	"31157"	"Other opioids"	"T40.2"	Suppressed	439111	Suppressed
	"Scotts Bluff County, NE"	"31157"	"Methadone"	"T40.3"	Suppressed	439111	Suppressed
	"Scotts Bluff County, NE"	"31157"	"Other synthetic narcotics"	"T40.4"	Suppressed	439111	Suppressed
	"Seward County, NE"	"31159"	"Heroin"	"T40.1"	Suppressed	202515	Suppressed
	"Seward County, NE"	"31159"	"Other opioids"	"T40.2"	Suppressed	202515	Suppressed
	"Seward County, NE"	"31159"	"Methadone"	"T40.3"	Suppressed	202515	Suppressed
	"Seward County, NE"	"31159"	"Other synthetic narcotics"	"T40.4"	Suppressed	202515	Suppressed
	"Sheridan County, NE"	"31161"	"Heroin"	"T40.1"	Suppressed	64672	Suppressed
	"Sheridan County, NE"	"31161"	"Other opioids"	"T40.2"	Suppressed	64672	Suppressed
	"Sheridan County, NE"	"31161"	"Methadone"	"T40.3"	Suppressed	64672	Suppressed
	"Sheridan County, NE"	"31161"	"Other synthetic narcotics"	"T40.4"	Suppressed	64672	Suppressed
	"Sherman County, NE"	"31163"	"Heroin"	"T40.1"	Suppressed	37333	Suppressed
	"Sherman County, NE"	"31163"	"Other opioids"	"T40.2"	Suppressed	37333	Suppressed
	"Sherman County, NE"	"31163"	"Methadone"	"T40.3"	Suppressed	37333	Suppressed
	"Sherman County, NE"	"31163"	"Other synthetic narcotics"	"T40.4"	Suppressed	37333	Suppressed
	"Sioux County, NE"	"31165"	"Heroin"	"T40.1"	Suppressed	15780	Suppressed
	"Sioux County, NE"	"31165"	"Other opioids"	"T40.2"	Suppressed	15780	Suppressed
	"Sioux County, NE"	"31165"	"Methadone"	"T40.3"	Suppressed	15780	Suppressed
	"Sioux County, NE"	"31165"	"Other synthetic narcotics"	"T40.4"	Suppressed	15780	Suppressed
	"Stanton County, NE"	"31167"	"Heroin"	"T40.1"	Suppressed	73357	Suppressed
	"Stanton County, NE"	"31167"	"Other opioids"	"T40.2"	Suppressed	73357	Suppressed
	"Stanton County, NE"	"31167"	"Methadone"	"T40.3"	Suppressed	73357	Suppressed
	"Stanton County, NE"	"31167"	"Other synthetic narcotics"	"T40.4"	Suppressed	73357	Suppressed
	"Thayer County, NE"	"31169"	"Heroin"	"T40.1"	Suppressed	62333	Suppressed
	"Thayer County, NE"	"31169"	"Other opioids"	"T40.2"	Suppressed	62333	Suppressed
	"Thayer County, NE"	"31169"	"Methadone"	"T40.3"	Suppressed	62333	Suppressed
	"Thayer County, NE"	"31169"	"Other synthetic narcotics"	"T40.4"	Suppressed	62333	Suppressed
	"Thomas County, NE"	"31171"	"Heroin"	"T40.1"	Suppressed	8192	Suppressed
	"Thomas County, NE"	"31171"	"Other opioids"	"T40.2"	Suppressed	8192	Suppressed
	"Thomas County, NE"	"31171"	"Methadone"	"T40.3"	Suppressed	8192	Suppressed
	"Thomas County, NE"	"31171"	"Other synthetic narcotics"	"T40.4"	Suppressed	8192	Suppressed
	"Thurston County, NE"	"31173"	"Heroin"	"T40.1"	Suppressed	83803	Suppressed
	"Thurston County, NE"	"31173"	"Other opioids"	"T40.2"	Suppressed	83803	Suppressed
	"Thurston County, NE"	"31173"	"Methadone"	"T40.3"	Suppressed	83803	Suppressed
	"Thurston County, NE"	"31173"	"Other synthetic narcotics"	"T40.4"	Suppressed	83803	Suppressed
	"Valley County, NE"	"31175"	"Heroin"	"T40.1"	Suppressed	50801	Suppressed
	"Valley County, NE"	"31175"	"Other opioids"	"T40.2"	Suppressed	50801	Suppressed
	"Valley County, NE"	"31175"	"Methadone"	"T40.3"	Suppressed	50801	Suppressed
	"Valley County, NE"	"31175"	"Other synthetic narcotics"	"T40.4"	Suppressed	50801	Suppressed
	"Washington County, NE"	"31177"	"Heroin"	"T40.1"	Suppressed	243318	Suppressed
	"Washington County, NE"	"31177"	"Other opioids"	"T40.2"	Suppressed	243318	Suppressed
	"Washington County, NE"	"31177"	"Methadone"	"T40.3"	Suppressed	243318	Suppressed
	"Washington County, NE"	"31177"	"Other synthetic narcotics"	"T40.4"	Suppressed	243318	Suppressed
	"Wayne County, NE"	"31179"	"Heroin"	"T40.1"	Suppressed	113804	Suppressed
	"Wayne County, NE"	"31179"	"Other opioids"	"T40.2"	Suppressed	113804	Suppressed
	"Wayne County, NE"	"31179"	"Methadone"	"T40.3"	Suppressed	113804	Suppressed
	"Wayne County, NE"	"31179"	"Other synthetic narcotics"	"T40.4"	Suppressed	113804	Suppressed
	"Webster County, NE"	"31181"	"Heroin"	"T40.1"	Suppressed	44674	Suppressed
	"Webster County, NE"	"31181"	"Other opioids"	"T40.2"	Suppressed	44674	Suppressed
	"Webster County, NE"	"31181"	"Methadone"	"T40.3"	Suppressed	44674	Suppressed
	"Webster County, NE"	"31181"	"Other synthetic narcotics"	"T40.4"	Suppressed	44674	Suppressed
	"Wheeler County, NE"	"31183"	"Heroin"	"T40.1"	Suppressed	9613	Suppressed
	"Wheeler County, NE"	"31183"	"Other opioids"	"T40.2"	Suppressed	9613	Suppressed
	"Wheeler County, NE"	"31183"	"Methadone"	"T40.3"	Suppressed	9613	Suppressed
	"Wheeler County, NE"	"31183"	"Other synthetic narcotics"	"T40.4"	Suppressed	9613	Suppressed
	"York County, NE"	"31185"	"Heroin"	"T40.1"	Suppressed	166121	Suppressed
	"York County, NE"	"31185"	"Other opioids"	"T40.2"	Suppressed	166121	Suppressed
	"York County, NE"	"31185"	"Methadone"	"T40.3"	Suppressed	166121	Suppressed
	"York County, NE"	"31185"	"Other synthetic narcotics"	"T40.4"	Suppressed	166121	Suppressed
	"Churchill County, NV"	"32001"	"Heroin"	"T40.1"	Suppressed	294488	Suppressed
	"Churchill County, NV"	"32001"	"Other opioids"	"T40.2"	23	294488	7.8
	"Churchill County, NV"	"32001"	"Methadone"	"T40.3"	12	294488	Unreliable
	"Churchill County, NV"	"32001"	"Other synthetic narcotics"	"T40.4"	Suppressed	294488	Suppressed
	"Clark County, NV"	"32003"	"Heroin"	"T40.1"	447	24017443	1.9
	"Clark County, NV"	"32003"	"Other opioids"	"T40.2"	2135	24017443	8.9
	"Clark County, NV"	"32003"	"Methadone"	"T40.3"	710	24017443	3.0
	"Clark County, NV"	"32003"	"Other synthetic narcotics"	"T40.4"	291	24017443	1.2
	"Douglas County, NV"	"32005"	"Heroin"	"T40.1"	Suppressed	567828	Suppressed
	"Douglas County, NV"	"32005"	"Other opioids"	"T40.2"	42	567828	7.4
	"Douglas County, NV"	"32005"	"Methadone"	"T40.3"	12	567828	Unreliable
	"Douglas County, NV"	"32005"	"Other synthetic narcotics"	"T40.4"	Suppressed	567828	Suppressed
	"Elko County, NV"	"32007"	"Heroin"	"T40.1"	Suppressed	601037	Suppressed
	"Elko County, NV"	"32007"	"Other opioids"	"T40.2"	29	601037	4.8
	"Elko County, NV"	"32007"	"Methadone"	"T40.3"	Suppressed	601037	Suppressed
	"Elko County, NV"	"32007"	"Other synthetic narcotics"	"T40.4"	Suppressed	601037	Suppressed
	"Esmeralda County, NV"	"32009"	"Heroin"	"T40.1"	Suppressed	9794	Suppressed
	"Esmeralda County, NV"	"32009"	"Other opioids"	"T40.2"	Suppressed	9794	Suppressed
	"Esmeralda County, NV"	"32009"	"Methadone"	"T40.3"	Suppressed	9794	Suppressed
	"Esmeralda County, NV"	"32009"	"Other synthetic narcotics"	"T40.4"	Suppressed	9794	Suppressed
	"Eureka County, NV"	"32011"	"Heroin"	"T40.1"	Suppressed	22921	Suppressed
	"Eureka County, NV"	"32011"	"Other opioids"	"T40.2"	Suppressed	22921	Suppressed
	"Eureka County, NV"	"32011"	"Methadone"	"T40.3"	Suppressed	22921	Suppressed
	"Eureka County, NV"	"32011"	"Other synthetic narcotics"	"T40.4"	Suppressed	22921	Suppressed
	"Humboldt County, NV"	"32013"	"Heroin"	"T40.1"	Suppressed	198966	Suppressed
	"Humboldt County, NV"	"32013"	"Other opioids"	"T40.2"	11	198966	Unreliable
	"Humboldt County, NV"	"32013"	"Methadone"	"T40.3"	Suppressed	198966	Suppressed
	"Humboldt County, NV"	"32013"	"Other synthetic narcotics"	"T40.4"	Suppressed	198966	Suppressed
	"Lander County, NV"	"32015"	"Heroin"	"T40.1"	Suppressed	68823	Suppressed
	"Lander County, NV"	"32015"	"Other opioids"	"T40.2"	Suppressed	68823	Suppressed
	"Lander County, NV"	"32015"	"Methadone"	"T40.3"	Suppressed	68823	Suppressed
	"Lander County, NV"	"32015"	"Other synthetic narcotics"	"T40.4"	Suppressed	68823	Suppressed
	"Lincoln County, NV"	"32017"	"Heroin"	"T40.1"	Suppressed	61744	Suppressed
	"Lincoln County, NV"	"32017"	"Other opioids"	"T40.2"	Suppressed	61744	Suppressed
	"Lincoln County, NV"	"32017"	"Methadone"	"T40.3"	Suppressed	61744	Suppressed
	"Lincoln County, NV"	"32017"	"Other synthetic narcotics"	"T40.4"	Suppressed	61744	Suppressed
	"Lyon County, NV"	"32019"	"Heroin"	"T40.1"	Suppressed	623937	Suppressed
	"Lyon County, NV"	"32019"	"Other opioids"	"T40.2"	41	623937	6.6
	"Lyon County, NV"	"32019"	"Methadone"	"T40.3"	12	623937	Unreliable
	"Lyon County, NV"	"32019"	"Other synthetic narcotics"	"T40.4"	Suppressed	623937	Suppressed
	"Mineral County, NV"	"32021"	"Heroin"	"T40.1"	Suppressed	55810	Suppressed
	"Mineral County, NV"	"32021"	"Other opioids"	"T40.2"	Suppressed	55810	Suppressed
	"Mineral County, NV"	"32021"	"Methadone"	"T40.3"	Suppressed	55810	Suppressed
	"Mineral County, NV"	"32021"	"Other synthetic narcotics"	"T40.4"	Suppressed	55810	Suppressed
	"Nye County, NV"	"32023"	"Heroin"	"T40.1"	Suppressed	520563	Suppressed
	"Nye County, NV"	"32023"	"Other opioids"	"T40.2"	93	520563	17.9
	"Nye County, NV"	"32023"	"Methadone"	"T40.3"	14	520563	Unreliable
	"Nye County, NV"	"32023"	"Other synthetic narcotics"	"T40.4"	10	520563	Unreliable
	"Pershing County, NV"	"32027"	"Heroin"	"T40.1"	Suppressed	80277	Suppressed
	"Pershing County, NV"	"32027"	"Other opioids"	"T40.2"	Suppressed	80277	Suppressed
	"Pershing County, NV"	"32027"	"Methadone"	"T40.3"	Suppressed	80277	Suppressed
	"Pershing County, NV"	"32027"	"Other synthetic narcotics"	"T40.4"	Suppressed	80277	Suppressed
	"Storey County, NV"	"32029"	"Heroin"	"T40.1"	Suppressed	47816	Suppressed
	"Storey County, NV"	"32029"	"Other opioids"	"T40.2"	Suppressed	47816	Suppressed
	"Storey County, NV"	"32029"	"Methadone"	"T40.3"	Suppressed	47816	Suppressed
	"Storey County, NV"	"32029"	"Other synthetic narcotics"	"T40.4"	Suppressed	47816	Suppressed
	"Washoe County, NV"	"32031"	"Heroin"	"T40.1"	117	5153632	2.3
	"Washoe County, NV"	"32031"	"Other opioids"	"T40.2"	455	5153632	8.8
	"Washoe County, NV"	"32031"	"Methadone"	"T40.3"	215	5153632	4.2
	"Washoe County, NV"	"32031"	"Other synthetic narcotics"	"T40.4"	87	5153632	1.7
	"White Pine County, NV"	"32033"	"Heroin"	"T40.1"	Suppressed	118115	Suppressed
	"White Pine County, NV"	"32033"	"Other opioids"	"T40.2"	13	118115	Unreliable
	"White Pine County, NV"	"32033"	"Methadone"	"T40.3"	Suppressed	118115	Suppressed
	"White Pine County, NV"	"32033"	"Other synthetic narcotics"	"T40.4"	Suppressed	118115	Suppressed
	"Carson City, NV"	"32510"	"Heroin"	"T40.1"	13	659812	Unreliable
	"Carson City, NV"	"32510"	"Other opioids"	"T40.2"	74	659812	11.2
	"Carson City, NV"	"32510"	"Methadone"	"T40.3"	24	659812	3.6
	"Carson City, NV"	"32510"	"Other synthetic narcotics"	"T40.4"	Suppressed	659812	Suppressed
	"Belknap County, NH"	"33001"	"Heroin"	"T40.1"	16	723951	Unreliable
	"Belknap County, NH"	"33001"	"Other opioids"	"T40.2"	31	723951	4.3
	"Belknap County, NH"	"33001"	"Methadone"	"T40.3"	32	723951	4.4
	"Belknap County, NH"	"33001"	"Other synthetic narcotics"	"T40.4"	66	723951	9.1
	"Carroll County, NH"	"33003"	"Heroin"	"T40.1"	11	571588	Unreliable
	"Carroll County, NH"	"33003"	"Other opioids"	"T40.2"	37	571588	6.5
	"Carroll County, NH"	"33003"	"Methadone"	"T40.3"	21	571588	3.7
	"Carroll County, NH"	"33003"	"Other synthetic narcotics"	"T40.4"	42	571588	7.3
	"Cheshire County, NH"	"33005"	"Heroin"	"T40.1"	32	921431	3.5
	"Cheshire County, NH"	"33005"	"Other opioids"	"T40.2"	37	921431	4.0
	"Cheshire County, NH"	"33005"	"Methadone"	"T40.3"	19	921431	Unreliable
	"Cheshire County, NH"	"33005"	"Other synthetic narcotics"	"T40.4"	56	921431	6.1
	"Coos County, NH"	"33007"	"Heroin"	"T40.1"	Suppressed	390651	Suppressed
	"Coos County, NH"	"33007"	"Other opioids"	"T40.2"	33	390651	8.4
	"Coos County, NH"	"33007"	"Methadone"	"T40.3"	10	390651	Unreliable
	"Coos County, NH"	"33007"	"Other synthetic narcotics"	"T40.4"	33	390651	8.4
	"Grafton County, NH"	"33009"	"Heroin"	"T40.1"	17	1066774	Unreliable
	"Grafton County, NH"	"33009"	"Other opioids"	"T40.2"	38	1066774	3.6
	"Grafton County, NH"	"33009"	"Methadone"	"T40.3"	17	1066774	Unreliable
	"Grafton County, NH"	"33009"	"Other synthetic narcotics"	"T40.4"	42	1066774	3.9
	"Hillsborough County, NH"	"33011"	"Heroin"	"T40.1"	182	4835360	3.8
	"Hillsborough County, NH"	"33011"	"Other opioids"	"T40.2"	207	4835360	4.3
	"Hillsborough County, NH"	"33011"	"Methadone"	"T40.3"	94	4835360	1.9
	"Hillsborough County, NH"	"33011"	"Other synthetic narcotics"	"T40.4"	529	4835360	10.9
	"Merrimack County, NH"	"33013"	"Heroin"	"T40.1"	44	1767123	2.5
	"Merrimack County, NH"	"33013"	"Other opioids"	"T40.2"	64	1767123	3.6
	"Merrimack County, NH"	"33013"	"Methadone"	"T40.3"	36	1767123	2.0
	"Merrimack County, NH"	"33013"	"Other synthetic narcotics"	"T40.4"	109	1767123	6.2
	"Rockingham County, NH"	"33015"	"Heroin"	"T40.1"	97	3578225	2.7
	"Rockingham County, NH"	"33015"	"Other opioids"	"T40.2"	151	3578225	4.2
	"Rockingham County, NH"	"33015"	"Methadone"	"T40.3"	75	3578225	2.1
	"Rockingham County, NH"	"33015"	"Other synthetic narcotics"	"T40.4"	293	3578225	8.2
	"Strafford County, NH"	"33017"	"Heroin"	"T40.1"	31	1491774	2.1
	"Strafford County, NH"	"33017"	"Other opioids"	"T40.2"	78	1491774	5.2
	"Strafford County, NH"	"33017"	"Methadone"	"T40.3"	55	1491774	3.7
	"Strafford County, NH"	"33017"	"Other synthetic narcotics"	"T40.4"	149	1491774	10.0
	"Sullivan County, NH"	"33019"	"Heroin"	"T40.1"	11	519912	Unreliable
	"Sullivan County, NH"	"33019"	"Other opioids"	"T40.2"	16	519912	Unreliable
	"Sullivan County, NH"	"33019"	"Methadone"	"T40.3"	16	519912	Unreliable
	"Sullivan County, NH"	"33019"	"Other synthetic narcotics"	"T40.4"	23	519912	4.4
	"Atlantic County, NJ"	"34001"	"Heroin"	"T40.1"	237	3281633	7.2
	"Atlantic County, NJ"	"34001"	"Other opioids"	"T40.2"	144	3281633	4.4
	"Atlantic County, NJ"	"34001"	"Methadone"	"T40.3"	47	3281633	1.4
	"Atlantic County, NJ"	"34001"	"Other synthetic narcotics"	"T40.4"	160	3281633	4.9
	"Bergen County, NJ"	"34003"	"Heroin"	"T40.1"	310	10995841	2.8
	"Bergen County, NJ"	"34003"	"Other opioids"	"T40.2"	200	10995841	1.8
	"Bergen County, NJ"	"34003"	"Methadone"	"T40.3"	45	10995841	0.4
	"Bergen County, NJ"	"34003"	"Other synthetic narcotics"	"T40.4"	182	10995841	1.7
	"Burlington County, NJ"	"34005"	"Heroin"	"T40.1"	105	5388467	1.9
	"Burlington County, NJ"	"34005"	"Other opioids"	"T40.2"	112	5388467	2.1
	"Burlington County, NJ"	"34005"	"Methadone"	"T40.3"	32	5388467	0.6
	"Burlington County, NJ"	"34005"	"Other synthetic narcotics"	"T40.4"	116	5388467	2.2
	"Camden County, NJ"	"34007"	"Heroin"	"T40.1"	28	6150383	0.5
	"Camden County, NJ"	"34007"	"Other opioids"	"T40.2"	17	6150383	Unreliable
	"Camden County, NJ"	"34007"	"Methadone"	"T40.3"	10	6150383	Unreliable
	"Camden County, NJ"	"34007"	"Other synthetic narcotics"	"T40.4"	26	6150383	0.4
	"Cape May County, NJ"	"34009"	"Heroin"	"T40.1"	99	1155290	8.6
	"Cape May County, NJ"	"34009"	"Other opioids"	"T40.2"	43	1155290	3.7
	"Cape May County, NJ"	"34009"	"Methadone"	"T40.3"	13	1155290	Unreliable
	"Cape May County, NJ"	"34009"	"Other synthetic narcotics"	"T40.4"	70	1155290	6.1
	"Cumberland County, NJ"	"34011"	"Heroin"	"T40.1"	111	1868817	5.9
	"Cumberland County, NJ"	"34011"	"Other opioids"	"T40.2"	60	1868817	3.2
	"Cumberland County, NJ"	"34011"	"Methadone"	"T40.3"	Suppressed	1868817	Suppressed
	"Cumberland County, NJ"	"34011"	"Other synthetic narcotics"	"T40.4"	101	1868817	5.4
	"Essex County, NJ"	"34013"	"Heroin"	"T40.1"	509	9464902	5.4
	"Essex County, NJ"	"34013"	"Other opioids"	"T40.2"	237	9464902	2.5
	"Essex County, NJ"	"34013"	"Methadone"	"T40.3"	104	9464902	1.1
	"Essex County, NJ"	"34013"	"Other synthetic narcotics"	"T40.4"	297	9464902	3.1
	"Gloucester County, NJ"	"34015"	"Heroin"	"T40.1"	35	3461744	1.0
	"Gloucester County, NJ"	"34015"	"Other opioids"	"T40.2"	17	3461744	Unreliable
	"Gloucester County, NJ"	"34015"	"Methadone"	"T40.3"	Suppressed	3461744	Suppressed
	"Gloucester County, NJ"	"34015"	"Other synthetic narcotics"	"T40.4"	20	3461744	0.6
	"Hudson County, NJ"	"34017"	"Heroin"	"T40.1"	276	7776970	3.5
	"Hudson County, NJ"	"34017"	"Other opioids"	"T40.2"	167	7776970	2.1
	"Hudson County, NJ"	"34017"	"Methadone"	"T40.3"	61	7776970	0.8
	"Hudson County, NJ"	"34017"	"Other synthetic narcotics"	"T40.4"	136	7776970	1.7
	"Hunterdon County, NJ"	"34019"	"Heroin"	"T40.1"	38	1524893	2.5
	"Hunterdon County, NJ"	"34019"	"Other opioids"	"T40.2"	28	1524893	1.8
	"Hunterdon County, NJ"	"34019"	"Methadone"	"T40.3"	Suppressed	1524893	Suppressed
	"Hunterdon County, NJ"	"34019"	"Other synthetic narcotics"	"T40.4"	25	1524893	1.6
	"Mercer County, NJ"	"34021"	"Heroin"	"T40.1"	177	4416419	4.0
	"Mercer County, NJ"	"34021"	"Other opioids"	"T40.2"	105	4416419	2.4
	"Mercer County, NJ"	"34021"	"Methadone"	"T40.3"	34	4416419	0.8
	"Mercer County, NJ"	"34021"	"Other synthetic narcotics"	"T40.4"	99	4416419	2.2
	"Middlesex County, NJ"	"34023"	"Heroin"	"T40.1"	447	9816525	4.6
	"Middlesex County, NJ"	"34023"	"Other opioids"	"T40.2"	263	9816525	2.7
	"Middlesex County, NJ"	"34023"	"Methadone"	"T40.3"	72	9816525	0.7
	"Middlesex County, NJ"	"34023"	"Other synthetic narcotics"	"T40.4"	330	9816525	3.4
	"Monmouth County, NJ"	"34025"	"Heroin"	"T40.1"	389	7540242	5.2
	"Monmouth County, NJ"	"34025"	"Other opioids"	"T40.2"	288	7540242	3.8
	"Monmouth County, NJ"	"34025"	"Methadone"	"T40.3"	84	7540242	1.1
	"Monmouth County, NJ"	"34025"	"Other synthetic narcotics"	"T40.4"	246	7540242	3.3
	"Morris County, NJ"	"34027"	"Heroin"	"T40.1"	243	5938363	4.1
	"Morris County, NJ"	"34027"	"Other opioids"	"T40.2"	155	5938363	2.6
	"Morris County, NJ"	"34027"	"Methadone"	"T40.3"	29	5938363	0.5
	"Morris County, NJ"	"34027"	"Other synthetic narcotics"	"T40.4"	127	5938363	2.1
	"Ocean County, NJ"	"34029"	"Heroin"	"T40.1"	353	6954548	5.1
	"Ocean County, NJ"	"34029"	"Other opioids"	"T40.2"	207	6954548	3.0
	"Ocean County, NJ"	"34029"	"Methadone"	"T40.3"	41	6954548	0.6
	"Ocean County, NJ"	"34029"	"Other synthetic narcotics"	"T40.4"	270	6954548	3.9
	"Passaic County, NJ"	"34031"	"Heroin"	"T40.1"	266	6031275	4.4
	"Passaic County, NJ"	"34031"	"Other opioids"	"T40.2"	130	6031275	2.2
	"Passaic County, NJ"	"34031"	"Methadone"	"T40.3"	47	6031275	0.8
	"Passaic County, NJ"	"34031"	"Other synthetic narcotics"	"T40.4"	135	6031275	2.2
	"Salem County, NJ"	"34033"	"Heroin"	"T40.1"	Suppressed	781900	Suppressed
	"Salem County, NJ"	"34033"	"Other opioids"	"T40.2"	Suppressed	781900	Suppressed
	"Salem County, NJ"	"34033"	"Methadone"	"T40.3"	Suppressed	781900	Suppressed
	"Salem County, NJ"	"34033"	"Other synthetic narcotics"	"T40.4"	Suppressed	781900	Suppressed
	"Somerset County, NJ"	"34035"	"Heroin"	"T40.1"	119	3914575	3.0
	"Somerset County, NJ"	"34035"	"Other opioids"	"T40.2"	75	3914575	1.9
	"Somerset County, NJ"	"34035"	"Methadone"	"T40.3"	12	3914575	Unreliable
	"Somerset County, NJ"	"34035"	"Other synthetic narcotics"	"T40.4"	86	3914575	2.2
	"Sussex County, NJ"	"34037"	"Heroin"	"T40.1"	91	1764742	5.2
	"Sussex County, NJ"	"34037"	"Other opioids"	"T40.2"	67	1764742	3.8
	"Sussex County, NJ"	"34037"	"Methadone"	"T40.3"	13	1764742	Unreliable
	"Sussex County, NJ"	"34037"	"Other synthetic narcotics"	"T40.4"	53	1764742	3.0
	"Union County, NJ"	"34039"	"Heroin"	"T40.1"	230	6506547	3.5
	"Union County, NJ"	"34039"	"Other opioids"	"T40.2"	131	6506547	2.0
	"Union County, NJ"	"34039"	"Methadone"	"T40.3"	49	6506547	0.8
	"Union County, NJ"	"34039"	"Other synthetic narcotics"	"T40.4"	136	6506547	2.1
	"Warren County, NJ"	"34041"	"Heroin"	"T40.1"	58	1295459	4.5
	"Warren County, NJ"	"34041"	"Other opioids"	"T40.2"	58	1295459	4.5
	"Warren County, NJ"	"34041"	"Methadone"	"T40.3"	11	1295459	Unreliable
	"Warren County, NJ"	"34041"	"Other synthetic narcotics"	"T40.4"	55	1295459	4.2
	"Bernalillo County, NM"	"35001"	"Heroin"	"T40.1"	461	7956943	5.8
	"Bernalillo County, NM"	"35001"	"Other opioids"	"T40.2"	747	7956943	9.4
	"Bernalillo County, NM"	"35001"	"Methadone"	"T40.3"	219	7956943	2.8
	"Bernalillo County, NM"	"35001"	"Other synthetic narcotics"	"T40.4"	166	7956943	2.1
	"Catron County, NM"	"35003"	"Heroin"	"T40.1"	Suppressed	43361	Suppressed
	"Catron County, NM"	"35003"	"Other opioids"	"T40.2"	Suppressed	43361	Suppressed
	"Catron County, NM"	"35003"	"Methadone"	"T40.3"	Suppressed	43361	Suppressed
	"Catron County, NM"	"35003"	"Other synthetic narcotics"	"T40.4"	Suppressed	43361	Suppressed
	"Chaves County, NM"	"35005"	"Heroin"	"T40.1"	19	780493	Unreliable
	"Chaves County, NM"	"35005"	"Other opioids"	"T40.2"	56	780493	7.2
	"Chaves County, NM"	"35005"	"Methadone"	"T40.3"	10	780493	Unreliable
	"Chaves County, NM"	"35005"	"Other synthetic narcotics"	"T40.4"	15	780493	Unreliable
	"Cibola County, NM"	"35006"	"Heroin"	"T40.1"	Suppressed	327204	Suppressed
	"Cibola County, NM"	"35006"	"Other opioids"	"T40.2"	16	327204	Unreliable
	"Cibola County, NM"	"35006"	"Methadone"	"T40.3"	Suppressed	327204	Suppressed
	"Cibola County, NM"	"35006"	"Other synthetic narcotics"	"T40.4"	Suppressed	327204	Suppressed
	"Colfax County, NM"	"35007"	"Heroin"	"T40.1"	Suppressed	158638	Suppressed
